number,COLUMN,question,COLUMN,option_A,COLUMN,option_B,COLUMN,option_C,COLUMN,option_D,COLUMN,option_E,COLUMN,answer,COLUMN,questionType,COLUMN,name,COLUMN,exam_number
1,+,"Um gerente enfatizou três critérios, ou requisitos, de qualidade fundamentais aos indicadores de desempenho de sua organização. Para ele, o indicador deve ser: (i) de fácil entendimento, para que qualquer pessoa seja capaz de tirar conclusões a partir da análise do indicador, garantindo transparência e validade; (ii) economicamente viável, de modo que os benefícios decorrentes do indicador sejam maiores que os custos incorridos na medição; (iii) de fácil identificação no que se refere à origem dos seus dados, ao seu registro e à sua manutenção, e, sempre que possível, deve-se transformar os resultados em gráficos para promover um acompanhamento mais preciso. Esses três requisitos de qualidade indicam que esse gerente considera fundamental que os indicadores de desempenho de sua organização respeitem, respectivamente, a",+,"acessibilidade, a praticidade e a representatividade",+,"disponibilidade, a rastreabilidade e a acessibilidade",+,"estabilidade, a representatividade e a simplicidade",+,"representatividade, a economicidade e a disponibilidade",+," simplicidade, a economicidade e a rastreabilidade",+,E,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
2,+,"Apesar de inúmeros benefícios que um planejamento estratégico dinâmico, participativo e inteligente pode trazer para as organizações, alguns cuidados devem ser observados para evitar desgastes e diminuir os riscos de insucesso desse tipo de planejamento. Dentre esses cuidados, é imprescindível que a(o)",+,"declaração de missão seja clara e relativamente curta, de forma que sejam esclarecidos os valores éticos, a perspectiva de mundo e a linha filosófica da relação da organização com o ambiente, o que basicamente determina o que é certo e errado",+,"estratégia descreva as características fundamentais do ajuste que uma organização alcança entre suas competências e recursos e as oportunidades e ameaças do ambiente externo, o qual permite que os objetivos da organização sejam atingidos.",+,"formação da estratégia seja um processo deliberado de pensamento consciente e que as estratégias sejam mantidas simples, únicas e explícitas.",+,"formulação de estratégias favoreça esquemas interpretativos individuais e molduras, isto é, padrões de filtragem e interpretação coletivos, particulares de cada organização segundo as diferentes instâncias de poder.",+,"processo de planejamento estratégico seja desenvolvido de uma forma totalmente estruturada e sistematizada e que possam ser definidos controles suficientes, para que sua aplicação conduza aos resultados esperados.",+,B,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
3,+,"As organizações não possuem sistemas de controles idênticos e podem optar por diferentes estratégias de controle organizacional. Nesse contexto, uma instituição que está tentando se tornar uma organização de aprendizagem, com departamentos pequenos e incertos, escolheu o controle de clã como estratégia de controle organizacional. Para a implementação do controle de clã, essa organização valorizou as seguintes características:",+,"centralização, mecanismos formais, relações pessoais, liderança e formalização.",+,"descentralização, confiança, informações gerenciais e centros de responsabilidade.",+,"preços, concorrência, relacionamento de trocas, participação no mercado e lucros. ",+,"regras, padrões, autoridade legítima, hierarquia e fiscalização. ",+,"tradições e crenças, valores compartilhados, compromisso e cultura corporativa.",+,E,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
4,+,"Os modelos de gestão de desempenho destinados a implementar uma estratégia devem ser capazes de traduzi-la para todos os níveis da instituição em que será implementada, tornando tal instituição capaz de atuar efetiva e conscientemente em prol da realização dos objetivos definidos. Considerando esse contexto, uma organização pública construiu seu mapa estratégico, que tinha como função:",+,"traduzir a estrutura, a vantagem competitiva e o projeto organizacional em um conjunto abrangente de objetivos que direcionam o comportamento e o desempenho institucionais.",+,"apontar, por meio de objetivos estratégicos, relações de causa e efeito e indicadores de desempenho, a forma pela qual ativos intangíveis da organização produzem resultados tangíveis.",+,"estruturar as perspectivas funcionais, que representam as visões específicas da eficácia organizacional, e os objetivos conflitantes, que devem ser enfrentados pela organização no cumprimento de sua missão institucional.",+,"subsidiar a alocação de recursos financeiros e a adequação do planejamento às várias limitações e contingências que possam afetar a eficácia organizacional, que avalia a extensão com que múltiplas metas são atingidas.",+,"comunicar de modo claro e transparente, a todos os níveis gerenciais e aos servidores, as metas oficiais e operativas, por meio da declaração da missão e da definição dos fins buscados por meio de procedimentos operacionais.",+,B,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
5,+,"Em uma empresa, o chefe de um determinado setor listou todos os seus funcionários por ordem decrescente de desempenho, considerando que as diferenças entre os funcionários são uniformes e deixando claro que apenas um funcionário poderia ser “o melhor”. Nesse processo de avaliação de desempenho, foi utilizada a",+,lista de verificação,+,escala de classificação adjetiva,+,escala de classificação ancorada no comportamento,+,classificação individual,+,classificação pela ordem do grupo,+,D,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
6,+,"O método dos cenários prospectivos, um pilar da gestão estratégica, além de facilitar o desenvolvimento do pensamento estratégico e a definição das estratégias da empresa, traz benefícios, tais como",+,"auxiliar na definição de estratégias, permitir que a organização enfrente um ambiente incerto e melhorar o processo decisório, o que, por sua vez, ajuda a promover a comunicação dentro da empresa e o aprendizado organizacional.",+,"contribuir com conhecimentos atualizados para os processos de tomada de decisão e ajudar a desenvolver a criatividade na empresa, o que, por sua vez, favorece a identificação de novas oportunidades de negócios e a exploração de futuros determinísticos.",+,"refazer constantemente o planejamento e os planos decorrentes, respondendo com eficácia às mudanças no ambiente, o que, por sua vez, possibilita que os administradores lidem melhor com as certezas ambientais.",+,"registrar rupturas de tendência promovidas pelos eventos identificados durante o processo e facilitar a criação das redes de troca de informações, o que, por sua vez, inibe o fluxo de informações dentro da empresa e a integração entre as diversas áreas.",+,"unificar e democratizar as questões estratégicas da organização com uma abordagem analítica e isolada e questionar ideias preconcebidas, o que, por sua vez, ajuda na análise de dados a respeito dos pontos fracos das organizações e de futuras formas de ameaça ambiental.",+,A,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
7,+,"Em meio à crescente preocupação global com a mudança climática e a perda de biodiversidade, o Ministério do Meio Ambiente e Mudança do Clima decidiu revisar e atualizar seus objetivos estratégicos para os próximos dez anos, estabelecendo objetivos, metas e indicadores mensuráveis eficazes de resultados. Qual é a principal característica dos indicadores eficazes de resultados?",+,Complexidade,+,Especificidade,+,Generalidade,+,Singularidade,+,Variabilidade,+,B,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
8,+,"Dois jovens administradores públicos foram designados para liderar um ambicioso projeto de melhoria dos serviços de coleta de resíduos na cidade P. Eles decidiram aplicar o ciclo Plan-Do-Check-Act (PDCA), com o objetivo de otimizar os processos de coleta de resíduos e melhorar a satisfação dos cidadãos. Considerando-se PDCA, qual é a primeira ação que esses administradores devem executar para melhorar a gestão de resíduos dessa cidade?",+,Consultar outros municípios para obter insights.,+,Implementar um novo sistema de gestão de resíduos.,+,Lançar uma campanha de educação pública.,+,Redefinir as rotas de coleta de resíduos.,+,Realizar um diagnóstico dos problemas existentes.,+,E,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
9,+,"Um projeto de reflorestamento de áreas degradadas da Secretaria de Meio Ambiente da cidade T visava à conservação da biodiversidade, a promoção de práticas agrícolas sustentáveis e o desenvolvimento socioeconômico das comunidades locais, concentrando-se na recuperação de áreas que sofreram perda significativa de vegetação nativa. Essa Secretaria de Meio Ambiente começou esse projeto de reflorestamento de áreas degradadas com a(o)",+,desenvolvimento de hortos de espécies nativas,+,exportação de vegetação nativa,+,identificação de áreas críticas,+,monitoramento do crescimento da vegetação,+,plantio de espécies nativas,+,C,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
10,+,Considere os conceitos de mapas estratégicos e do Balanced Scorecard (BSC). Qual das afirmações descreve a relação entre mapas estratégicos e o BSC?,+,Mapas estratégicos são usados para visualizar a estratégia que o BSC mede e monitora.,+,Mapas estratégicos e BSC são ferramentas concorrentes desenvolvidas por diferentes teóricos da gestão.,+,"Mapas estratégicos servem como a fase preliminar do BSC, não sendo necessários após sua implementação.",+,"Mapas estratégicos são uma alternativa ao BSC, focando em medidas financeiras.",+,"O BSC é um subconjunto de um mapa estratégico, focado apenas na perspectiva de aprendizado e de crescimento.",+,A,+,"AMBIENTAL, AGRÁRIO E BIOLÓGICAS",+,CONCURSO PUBLICO UNIFICADO,+,11
